country,crop,year_2022,actual_yield_2022,year_2023,predicted_yield_2023,,,
Algeria,Rape or colza seed,2022,1943.9,2023,2327.174053,,,
Algeria,Rice,2022,1789.9,2023,1813.323664,,,
Algeria,"Seed cotton, unginned",2022,272.8,2023,361.3184599,,,
Algeria,Sorghum,2022,7160.7,2023,5427.085315,,,
Algeria,Sunflower seed,2022,447.6,2023,493.7603874,,,
Algeria,"Tangerines, mandarins, clementines",2022,20761.9,2023,22375.61011,,,
Algeria,Triticale,2022,1731.3,2023,1779.43418,,,
Algeria,Vetches,2022,502.2,2023,696.1735982,,,
Algeria,Watermelons,2022,37158.1,2023,42817.47163,,,
Algeria,Wheat,2022,1646.8,2023,1868.612693,,,
Algeria,"Roots and Tubers, Total",2022,32975.1,2023,37461.00813,,,
Algeria,"Treenuts, Total",2022,1717,2023,1907.283172,,,
Algeria,Vegetables Primary,2022,26012.9,2023,33208.73621,,,
Angola,Avocados,2022,11939,2023,10524.63494,,,
Angola,Bananas,2022,26665,2023,23397.08249,,,
Angola,"Beans, dry",2022,511,2023,600.233038,,,
Angola,Castor oil seeds,2022,255.3,2023,302.3590173,,,
Angola,"Groundnuts, excluding shelled",2022,643.5,2023,670.6461637,,,
Angola,"Kenaf, and other textile bast fibres, raw or retted",2022,681,2023,734.9718916,,,
Angola,Maize (corn),2022,1120.3,2023,1173.823051,,,
Angola,"Mangoes, guavas and mangosteens",2022,11239.8,2023,10610.73189,,,
Angola,Millet,2022,234.6,2023,289.9237724,,,
Angola,Oil palm fruit,2022,12088.6,2023,9014.271019,,,
Angola,"Other citrus fruit, n.e.c.",2022,11510.1,2023,9041.043677,,,
Angola,"Other fruits, n.e.c.",2022,4749.8,2023,4516.011413,,,
Angola,Pineapples,2022,19231.6,2023,20191.35297,,,
Angola,Rice,2022,1232.3,2023,1261.463261,,,
Angola,"Seed cotton, unginned",2022,608.8,2023,666.606972,,,
Angola,Sesame seed,2022,254,2023,288.704259,,,
Angola,"Sisal, raw",2022,1046.3,2023,897.2709473,,,
Angola,Sorghum,2022,233.4,2023,291.0351767,,,
Angola,Soya beans,2022,1030.6,2023,896.4817712,,,
Angola,Sugar cane,2022,39468.2,2023,41382.88316,,,
Angola,Sunflower seed,2022,710,2023,656.2158138,,,
Angola,Wheat,2022,878.3,2023,968.4987973,,,
Angola,"Roots and Tubers, Total",2022,9969.3,2023,9947.875657,,,
Angola,"Treenuts, Total",2022,794.4,2023,901.3619902,,,
Angola,Vegetables Primary,2022,12137,2023,15384.49592,,,
Argentina,Apples,2022,27451.3,2023,35087.53111,,,
Argentina,Apricots,2022,11614.4,2023,11052.69593,,,
Argentina,Avocados,2022,7137.6,2023,6841.550887,,,
Argentina,Bananas,2022,20964.5,2023,21008.48782,,,
Argentina,Barley,2022,3952.9,2023,4699.078307,,,
Argentina,"Beans, dry",2022,1269.4,2023,1437.864362,,,
Argentina,"Broad beans and horse beans, dry",2022,8908.5,2023,9699.402186,,,
Argentina,Canary seed,2022,1312.9,2023,1278.216411,,,
Argentina,Cantaloupes and other melons,2022,15640.3,2023,19244.02458,,,
Argentina,Cereals n.e.c.,2022,643.2,2023,656.036058,,,
Argentina,Cherries,2022,3413.6,2023,3487.636694,,,
Argentina,"Chick peas, dry",2022,1253.7,2023,1221.205827,,,
Argentina,Figs,2022,3204.2,2023,2796.698062,,,
Argentina,"Flax, raw or retted",2022,900.2,2023,992.8161608,,,
Argentina,Grapes,2022,9354.4,2023,11002.38535,,,
Argentina,"Groundnuts, excluding shelled",2022,3311.8,2023,2645.949948,,,
Argentina,Lemons and limes,2022,33983.6,2023,38202.66815,,,
Argentina,"Lentils, dry",2022,1787.6,2023,1262.560842,,,
Argentina,Linseed,2022,1795,2023,1234.528524,,,
Argentina,Lupins,2022,1584.8,2023,1941.356208,,,
Argentina,Maize (corn),2022,6732.9,2023,8169.8377,,,
Argentina,"Mangoes, guavas and mangosteens",2022,8035.7,2023,9000.774381,,,
Argentina,Millet,2022,1627.7,2023,2064.721702,,,
Argentina,Oats,2022,2073.1,2023,1926.047277,,,
Argentina,Olives,2022,2750.8,2023,2756.081632,,,
Argentina,Oranges,2022,24120,2023,27522.90035,,,
Argentina,"Other fibre crops, raw, n.e.c.",2022,995.6,2023,877.0548501,,,
Argentina,Papayas,2022,11018.2,2023,10920.76994,,,
Argentina,Peaches and nectarines,2022,17366.7,2023,16356.24449,,,
Argentina,Pears,2022,28385.2,2023,28100.74459,,,
Argentina,"Peas, dry",2022,2640.9,2023,2871.834467,,,
Argentina,Pineapples,2022,18224.4,2023,20461.32033,,,
Argentina,Plums and sloes,2022,6289.8,2023,6799.593562,,,
Argentina,Pomelos and grapefruits,2022,25248.5,2023,28022.80766,,,
Argentina,Quinces,2022,8588.7,2023,10101.10564,,,
Argentina,Rape or colza seed,2022,2048.2,2023,2034.119571,,,
Argentina,Rice,2022,6569.7,2023,8341.940861,,,
Argentina,Rye,2022,1935.6,2023,2244.969979,,,
Argentina,Safflower seed,2022,613.4,2023,758.6638338,,,
Argentina,"Seed cotton, unginned",2022,2323.7,2023,2858.219246,,,
Argentina,Sorghum,2022,4119.7,2023,5266.436128,,,
Argentina,Soya beans,2022,2763,2023,3083.449823,,,
Argentina,Strawberries,2022,30033.7,2023,31273.30654,,,
Argentina,Sugar cane,2022,47972.4,2023,49442.81459,,,
Argentina,Sunflower seed,2022,2067.9,2023,2141.545847,,,
Argentina,"Tangerines, mandarins, clementines",2022,14341.3,2023,15318.78231,,,
Argentina,Tung nuts,2022,2660.7,2023,2447.087256,,,
Argentina,Watermelons,2022,13941.9,2023,16998.46208,,,
Argentina,Wheat,2022,3382.5,2023,3683.894088,,,
Argentina,"Roots and Tubers, Total",2022,27626.4,2023,30274.60865,,,
Argentina,"Treenuts, Total",2022,1143.4,2023,1113.982244,,,
Argentina,Vegetables Primary,2022,22917.9,2023,22667.24923,,,
Armenia,Apples,2022,8553.2,2023,8200.088828,,,
Armenia,Apricots,2022,9887,2023,6784.778287,,,
Armenia,Barley,2022,1800.6,2023,1392.345103,,,
Armenia,"Beans, dry",2022,2160.8,2023,1749.038076,,,
Armenia,Cereals n.e.c.,2022,1703.6,2023,1403.863648,,,
Armenia,Cherries,2022,6712.9,2023,5163.843924,,,
Armenia,"Chick peas, dry",2022,1006.9,2023,1019.209116,,,
Armenia,Figs,2022,6250.2,2023,6633.49926,,,
Armenia,Grapes,2022,14938.9,2023,12660.87041,,,
Armenia,"Lentils, dry",2022,1440.7,2023,1107.311755,,,
Armenia,Linseed,2022,763.9,2023,887.6223698,,,
Armenia,Maize (corn),2022,5164.4,2023,3978.788735,,,
Armenia,Oats,2022,2217.6,2023,1369.157505,,,
Armenia,Other berries and fruits of the genus vaccinium n.e.c.,2022,10304.4,2023,8897.051412,,,
Armenia,"Other fruits, n.e.c.",2022,2273.5,2023,2060.654443,,,
Armenia,Other pulses n.e.c.,2022,1707.1,2023,1800.33742,,,
Armenia,"Other tropical fruits, n.e.c.",2022,12062.2,2023,9099.393111,,,
Armenia,Peaches and nectarines,2022,10172.1,2023,11398.3815,,,
Armenia,Pears,2022,5372.5,2023,4587.972896,,,
Armenia,"Peas, dry",2022,1373.1,2023,1091.35562,,,
Armenia,Plums and sloes,2022,12357.1,2023,10446.8007,,,
Armenia,Quinces,2022,4398.7,2023,4947.396035,,,
Armenia,Rye,2022,150,2023,510.693885,,,
Armenia,Sour cherries,2022,2881,2023,2727.366547,,,
Armenia,Sugar beet,2022,15085.4,2023,14906.9925,,,
Armenia,Watermelons,2022,30202.8,2023,28852.5961,,,
Armenia,Wheat,2022,2450.9,2023,1965.709945,,,
Armenia,"Roots and Tubers, Total",2022,18245.6,2023,18150.77179,,,
Armenia,"Treenuts, Total",2022,2120.1,2023,2223.240565,,,
Armenia,Vegetables Primary,2022,32014.3,2023,33701.80549,,,
Australia,Apples,2022,15868.4,2023,17537.75102,,,
Australia,Apricots,2022,1025.5,2023,1126.291214,,,
Australia,Avocados,2022,4847.9,2023,5468.323525,,,
Australia,Bananas,2022,30751,2023,34821.37535,,,
Australia,Barley,2022,2822.1,2023,2659.337936,,,
Australia,"Beans, dry",2022,1825,2023,1858.894144,,,
Australia,Blueberries,2022,3733.7,2023,3462.013488,,,
Australia,"Broad beans and horse beans, dry",2022,2247.8,2023,1940.533857,,,
Australia,Canary seed,2022,678,2023,755.34505,,,
Australia,Cantaloupes and other melons,2022,31313.9,2023,40378.11595,,,
Australia,Cherries,2022,7069.4,2023,6833.939096,,,
Australia,"Chick peas, dry",2022,1725.1,2023,1463.021147,,,
Australia,Currants,2022,4718.6,2023,5498.651603,,,
Australia,Figs,2022,1042,2023,1332.773345,,,
Australia,Grapes,2022,10964.1,2023,15428.39565,,,
Australia,"Groundnuts, excluding shelled",2022,3305.3,2023,3208.760209,,,
Australia,Hempseed,2022,3000,2023,565.3303992,,,
Australia,Kiwi fruit,2022,15724.8,2023,18291.53128,,,
Australia,Lemons and limes,2022,23889.5,2023,26394.5288,,,
Australia,"Lentils, dry",2022,1737.7,2023,1473.05084,,,
Australia,Linseed,2022,1000,2023,1007.9978,,,
Australia,Lupins,2022,1926.2,2023,1629.258589,,,
Australia,Maize (corn),2022,8174.9,2023,8125.01794,,,
Australia,"Mangoes, guavas and mangosteens",2022,4229.1,2023,4746.848934,,,
Australia,Millet,2022,1022.6,2023,1236.260044,,,
Australia,Oats,2022,2059.5,2023,1926.185738,,,
Australia,Olives,2022,2445.8,2023,2617.148346,,,
Australia,Oranges,2022,19543.6,2023,20131.94263,,,
Australia,Other berries and fruits of the genus vaccinium n.e.c.,2022,2650.6,2023,2806.99849,,,
Australia,"Other citrus fruit, n.e.c.",2022,11103.4,2023,12038.56287,,,
Australia,"Other tropical fruits, n.e.c.",2022,5990.6,2023,6586.553628,,,
Australia,Papayas,2022,19162.7,2023,21042.47716,,,
Australia,Peaches and nectarines,2022,7051.4,2023,8682.102977,,,
Australia,Pears,2022,17185.5,2023,18269.00822,,,
Australia,"Peas, dry",2022,1360.1,2023,1390.720915,,,
Australia,Persimmons,2022,7773.8,2023,8598.016611,,,
Australia,Pineapples,2022,37159,2023,32094.83939,,,
Australia,Plums and sloes,2022,5976.3,2023,6613.24047,,,
Australia,Pomelos and grapefruits,2022,10489.4,2023,12783.21794,,,
Australia,Rape or colza seed,2022,2098.4,2023,2166.032387,,,
Australia,Raspberries,2022,2695.6,2023,2833.245199,,,
Australia,Rice,2022,11054.5,2023,11114.81169,,,
Australia,Rye,2022,697.4,2023,798.854935,,,
Australia,Safflower seed,2022,581.2,2023,655.537636,,,
Australia,"Seed cotton, unginned",2022,5103.4,2023,5879.736787,,,
Australia,Sorghum,2022,4260.7,2023,4174.093018,,,
Australia,Soya beans,2022,2243.1,2023,1642.61717,,,
Australia,Strawberries,2022,25661.6,2023,30245.06385,,,
Australia,Sugar cane,2022,85324.5,2023,87089.27729,,,
Australia,Sunflower seed,2022,1536.1,2023,1404.732506,,,
Australia,"Tangerines, mandarins, clementines",2022,23794.2,2023,25386.27537,,,
Australia,Triticale,2022,1893.4,2023,1995.600672,,,
Australia,"True hemp, raw or retted",2022,12000,2023,1517.057757,,,
Australia,Vetches,2022,212.6,2023,238.4634834,,,
Australia,Watermelons,2022,43732.2,2023,44959.03433,,,
Australia,Wheat,2022,2847,2023,2273.53955,,,
Australia,"Roots and Tubers, Total",2022,41872.5,2023,44753.73417,,,
Australia,"Treenuts, Total",2022,4224.1,2023,4764.232735,,,
Australia,Vegetables Primary,2022,24809.1,2023,27111.47423,,,
Austria,Apples,2022,41366.7,2023,34107.15874,,,
Austria,Apricots,2022,7302.3,2023,6603.558235,,,
Austria,Barley,2022,6259.6,2023,7020.494947,,,
Austria,Blueberries,2022,9363.6,2023,6807.4595,,,
Austria,"Broad beans and horse beans, dry",2022,2552.3,2023,3176.699779,,,
Austria,Cereals n.e.c.,2022,2432.5,2023,1876.329175,,,
Austria,Cherries,2022,28148.1,2023,25190.8961,,,
Austria,Currants,2022,15406.3,2023,14021.01774,,,
Austria,Grapes,2022,7866.2,2023,9286.756935,,,
Austria,Linseed,2022,1195,2023,1241.781959,,,
Austria,Lupins,2022,1625,2023,1727.226643,,,
Austria,Maize (corn),2022,9817.3,2023,8993.129289,,,
Austria,Mixed grain,2022,4914.7,2023,5325.253494,,,
Austria,Oats,2022,4201.2,2023,4760.043158,,,
Austria,"Other oil seeds, n.e.c.",2022,809.2,2023,900.4114857,,,
Austria,Other pulses n.e.c.,2022,2119.2,2023,2593.33832,,,
Austria,Peaches and nectarines,2022,13388.9,2023,13302.70245,,,
Austria,Pears,2022,71421.1,2023,96018.19654,,,
Austria,"Peas, dry",2022,2462.6,2023,2916.748345,,,
Austria,Plums and sloes,2022,50000,2023,61253.49212,,,
Austria,Rape or colza seed,2022,3242.8,2023,3748.145308,,,
Austria,Raspberries,2022,7000,2023,6599.084239,,,
Austria,Rye,2022,4925.6,2023,5218.390131,,,
Austria,Sorghum,2022,7371.8,2023,8328.398355,,,
Austria,Sour cherries,2022,33000,2023,31628.7886,,,
Austria,Soya beans,2022,2650.4,2023,3651.304596,,,
Austria,Strawberries,2022,13877,2023,13535.54517,,,
Austria,Sugar beet,2022,79715.5,2023,71682.47144,,,
Austria,Sunflower seed,2022,2346.6,2023,2369.289516,,,
Austria,Triticale,2022,5686.8,2023,5964.579115,,,
Austria,"True hemp, raw or retted",2022,3880.6,2023,4181.694534,,,
Austria,Watermelons,2022,44400,2023,51161.12048,,,
Austria,Wheat,2022,5795.2,2023,6492.154447,,,
Austria,"Roots and Tubers, Total",2022,32006.5,2023,34747.14015,,,
Austria,"Treenuts, Total",2022,26000,2023,19615.35687,,,
Austria,Vegetables Primary,2022,37817.3,2023,32278.35292,,,
Azerbaijan,Apples,2022,10932.1,2023,9737.318003,,,
Azerbaijan,Apricots,2022,8117.8,2023,7571.025445,,,
Azerbaijan,Barley,2022,2794.6,2023,2553.769172,,,
Azerbaijan,"Beans, dry",2022,2221.1,2023,2371.468608,,,
Azerbaijan,"Broad beans and horse beans, dry",2022,2384.9,2023,2344.986849,,,
Azerbaijan,Cantaloupes and other melons,2022,17476.2,2023,17939.38868,,,
Azerbaijan,Cherries,2022,5317.4,2023,6961.755755,,,
Azerbaijan,Cranberries,2022,4237.4,2023,4033.989282,,,
Azerbaijan,Currants,2022,4208.4,2023,4844.740943,,,
Azerbaijan,Figs,2022,6411.7,2023,6071.611184,,,
Azerbaijan,Grapes,2022,14355.6,2023,15447.60901,,,
Azerbaijan,Lemons and limes,2022,11012.8,2023,12119.25176,,,
Azerbaijan,"Lentils, dry",2022,1276.5,2023,1528.507578,,,
Azerbaijan,Maize (corn),2022,8842.7,2023,9531.232222,,,
Azerbaijan,Millet,2022,15481.6,2023,19333.92878,,,
Azerbaijan,Oats,2022,1993.1,2023,2457.540555,,,
Azerbaijan,Olives,2022,527.4,2023,449.6070611,,,
Azerbaijan,Oranges,2022,14352.7,2023,15030.71283,,,
Azerbaijan,Other berries and fruits of the genus vaccinium n.e.c.,2022,9519,2023,9974.805954,,,
Azerbaijan,"Other citrus fruit, n.e.c.",2022,4616.6,2023,5136.151364,,,
Azerbaijan,"Other fruits, n.e.c.",2022,11174.2,2023,10155.54972,,,
Azerbaijan,"Other oil seeds, n.e.c.",2022,2014.1,2023,1997.033902,,,
Azerbaijan,Other pulses n.e.c.,2022,3178.6,2023,2275.975619,,,
Azerbaijan,Peaches and nectarines,2022,9264.1,2023,8279.407688,,,
Azerbaijan,Pears,2022,11110.7,2023,11628.05502,,,
Azerbaijan,"Peas, dry",2022,1240.6,2023,1712.235852,,,
Azerbaijan,Persimmons,2022,15561.6,2023,17042.83531,,,
Azerbaijan,Plums and sloes,2022,8617.7,2023,9779.756478,,,
Azerbaijan,Quinces,2022,10439.2,2023,11978.15914,,,
Azerbaijan,Raspberries,2022,4559.4,2023,4910.720114,,,
Azerbaijan,Rice,2022,3424.2,2023,3490.223456,,,
